Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Estonia,EST,99.7,99.7,99.5,99.6,99.7,99.6,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ethiopia,ETH,..,27.7,..,..,49.8,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Fiji,FJI,99.9,99.8,..,..,..,..,99.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Finland,FIN,99.7,99.6,99.6,99.6,99.5,99.6,99.5,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,France,FRA,97.7,97.4,98,98.1,97.6,98.2,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Gambia, The",GMB,..,..,..,82.7,..,83.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Georgia,GEO,99.9,99.9,99.9,99.8,99.8,99.8,99.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Germany,DEU,97.1,96.2,97.1,96.2,96.2,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ghana,GHA,..,..,78.1,78.9,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Greece,GRC,99.9,99.9,99.9,99.9,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Grenada,GRD,99,99.3,100,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guatemala,GTM,65.5,69.8,69.6,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guinea,GIN,..,62.7,..,55.3,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guinea-Bissau,GNB,..,..,..,..,53.8,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Guyana,GUY,95.8,94.3,96.7,95.1,95,97.6,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Haiti,HTI,..,..,41.6,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Honduras,HND,72,79,74,..,94.1,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Hungary,HUN,99.6,99.7,99.7,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Iceland,ISL,98.2,97.9,98,98.2,98.3,97.4,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,India,IND,..,81.4,..,..,..,..,89.4,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Indonesia,IDN,..,92.6,90.9,93.6,94.7,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Iraq,IRQ,..,..,..,95.6,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ireland,IRL,99.7,99.7,99.7,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Italy,ITA,99.9,99.9,99.9,99.9,99.8,99.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Jamaica,JAM,99.7,99.7,99.7,99.7,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Japan,JPN,99.9,99.8,99.9,99.9,99.9,99.9,99.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Jordan,JOR,..,..,..,99.7,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kazakhstan,KAZ,99.4,99.9,99.9,99.9,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kenya,KEN,..,70.2,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kiribati,KIR,..,..,..,..,91.9,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Korea, Dem. People's Rep.",PRK,..,..,99.5,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Korea, Rep.",KOR,100,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kuwait,KWT,99.9,99.9,99.9,99.9,99.9,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Kyrgyz Republic,KGZ,..,..,..,99.8,..,100,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lao PDR,LAO,..,..,64.4,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Latvia,LVA,99.9,99.9,99.9,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lesotho,LSO,..,..,..,86.6,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Liberia,LBR,..,..,..,..,..,84.4,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lithuania,LTU,100,100,100,100,100,100,100,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,North Macedonia,MKD,99.9,99.9,99.9,99.9,100,100,100,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Madagascar,MDG,..,..,..,46.1,..,..,45.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Malawi,MWI,..,89.8,..,..,..,96.4,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Malaysia,MYS,99.4,99.5,99.6,99.6,99.6,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Maldives,MDV,..,..,99.5,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mali,MLI,43.7,..,..,67.3,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Malta,MLT,99.8,99.8,99.7,99.7,99.7,99.9,99.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Marshall Islands,MHL,..,..,92.4,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mauritania,MRT,69.3,..,..,..,..,..,70.4,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mauritius,MUS,99.8,99.7,99.8,99.8,99.8,99.7,99.7,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mexico,MEX,97.7,98,96.6,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Moldova,MDA,99.7,99.7,99.7,99.7,99.7,99.6,99.6,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mongolia,MNG,..,..,..,99.3,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Montenegro,MNE,..,..,..,98.8,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Morocco,MAR,..,..,..,86.6,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Mozambique,MOZ,73,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Myanmar,MMR,..,60.2,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nepal,NPL,..,58,58,..,77.2,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,New Zealand,NZL,96.3,96.5,96.6,96.4,96.5,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nicaragua,NIC,94,94.1,94.1,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Niger,NER,39.7,39.1,..,..,..,..,43.7,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nigeria,NGA,..,..,43,43.3,..,..,..,50.7,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Norway,NOR,99.1,99.1,99.2,99.2,99.3,99.2,99.2,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Oman,OMN,98.7,98.7,98.7,98.6,98.6,99.9,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Pakistan,PAK,59,..,..,69.3,73.7,68,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Palau,PLW,100,100,100,100,100,97.2,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Panama,PAN,96.3,94.6,94.2,92.9,95,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Papua New Guinea,PNG,..,..,..,56.4,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Paraguay,PRY,96.3,95.5,97.3,97.7,92.2,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Peru,PER,91.6,92.4,93.6,93.7,94.4,95.7,94.9,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Philippines,PHL,..,..,84.4,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Poland,POL,99.9,99.8,99.8,99.8,99.8,99.7,99.6,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Portugal,PRT,99.9,99.9,99.9,99.9,99.9,98.6,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Qatar,QAT,99.9,100,100,100,100,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Romania,ROU,94.3,95,93.5,93.1,91.5,93,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Russian Federation,RUS,99.7,99.7,99.7,99.7,99.7,99.6,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Rwanda,RWA,90.7,..,..,..,..,94.2,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Samoa,WSM,..,..,..,..,..,88.9,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sao Tome and Principe,STP,..,..,..,..,96.8,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Saudi Arabia,SAU,98,98,99.7,99.4,94.8,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Senegal,SEN,53.2,58.6,68.4,74.2,74.5,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Serbia,SRB,..,..,..,..,99.9,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Seychelles,SYC,..,..,..,..,98.8,99.5,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sierra Leone,SLE,..,..,81.6,..,86.9,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Singapore,SGP,99.7,99.7,99.6,99.6,99.6,99.6,99.6,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Slovak Republic,SVK,97,98.1,98.8,98,98.3,98.2,98,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Solomon Islands,SLB,86.2,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Somalia,SOM,..,..,..,..,31.9,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,South Africa,ZAF,..,96.7,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,South Sudan,SSD,..,..,..,..,..,39.7,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Spain,ESP,99.9,..,..,99.9,99.9,99.9,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sri Lanka,LKA,..,99.5,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Kitts and Nevis,KNA,100,..,..,100,100,100,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Lucia,LCA,99.1,..,100,100,100,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,St. Vincent and the Grenadines,VCT,98.7,98.6,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Suriname,SUR,90,..,..,98.4,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tajikistan,TJK,98,..,94.8,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tanzania,TZA,..,63.5,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Thailand,THA,..,99.1,..,..,99.1,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Timor-Leste,TLS,..,56.7,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Togo,TGO,..,..,69.4,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tonga,TON,..,..,..,..,98.3,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Trinidad and Tobago,TTO,100,100,100,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tunisia,TUN,..,..,..,99.5,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Turkiye,TUR,99,..,98,99.2,97,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Turkmenistan,TKM,..,100,..,..,100,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,100,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Tuvalu,TUV,..,..,..,..,..,99.5,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uganda,UGA,..,74.2,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ukraine,UKR,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Arab Emirates,ARE,99.9,..,..,99.2,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United States,USA,99.1,99.1,99.1,99.1,99,99.1,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uruguay,URY,99.9,100,100,100,100,100,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Uzbekistan,UZB,100,100,100,100,100,100,..,99,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Vanuatu,VUT,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Venezuela, RB",VEN,99.3,99.3,99.1,98.7,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Viet Nam,VNM,..,..,..,..,..,..,96.1,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,West Bank and Gaza,PSE,..,..,..,..,..,99.7,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Zambia,ZMB,..,..,..,80.4,80.4,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Zimbabwe,ZWE,78.1,..,..,..,86,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Afghanistan,AFG,72.7,70.2,67.9,65.8,63.6,61.6,59.6,57.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Albania,ALB,9.6,9.4,9.3,9.3,9.4,9.4,9.5,9.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Algeria,DZA,25.3,24.9,24.5,24,23.5,22.9,22.3,21.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,American Samoa,ASM,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Andorra,AND,3.6,3.4,3.2,3.1,3,2.9,2.8,2.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Angola,AGO,87.9,84,80.4,77.1,74.2,71.5,69.1,66.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Antigua and Barbuda,ATG,10.9,10.8,10.6,10.4,10.2,10,9.8,9.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Argentina,ARG,11.8,11.4,11,10.6,10.3,10,9.7,9.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Armenia,ARM,14.5,13.8,13.1,12.5,11.9,11.3,10.8,10.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Aruba,ABW,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Australia,AUS,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Austria,AUT,3.7,3.6,3.6,3.5,3.5,3.4,3.3,3.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Azerbaijan,AZE,26.6,24.8,23.2,21.8,20.7,19.7,18.8,18.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Bahamas, The",BHS,14,13.8,13.7,13.5,23.5,13.3,13.1,12.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bahrain,BHR,7.6,7.5,7.3,7.2,7,6.9,6.7,6.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bangladesh,BGD,38.5,36.8,35.1,33.6,32.2,31,29.8,28.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Barbados,BRB,13.3,13,12.7,12.3,12,11.6,11.2,10.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belarus,BLR,4.1,3.9,3.6,3.4,3.1,2.9,2.7,2.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belgium,BEL,4.1,4.1,4,4,3.9,3.9,3.8,3.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Belize,BLZ,15.7,14.9,14.2,13.5,12.8,12.2,11.5,10.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Benin,BEN,97.4,95.2,93,90.7,88.3,85.8,83.3,80.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bermuda,BMU,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bhutan,BTN,30.7,29.4,28.2,27.2,26.3,25.4,24.5,23.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bolivia,BOL,31.9,30.4,29.1,27.9,26.8,25.8,24.8,23.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bosnia and Herzegovina,BIH,6.4,6.4,6.4,6.3,6.3,6.2,6.1,6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Botswana,BWA,48.6,47.4,44.3,43.7,42.6,41.3,39.9,38.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brazil,BRA,15.9,16.7,15.3,15,14.8,14.5,14.3,14,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,British Virgin Islands,VGB,15.4,15.2,14.9,14.5,14.2,13.8,13.5,13.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Brunei Darussalam,BRN,9.9,9.9,9.9,9.9,9.9,9.8,9.8,9.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Bulgaria,BGR,8.2,7.7,7.3,7,6.7,6.5,6.3,6.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burkina Faso,BFA,100.4,96.9,93.6,90.3,87.3,84.3,81.4,78.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Burundi,BDI,67.3,64,61.1,58.6,56.3,54.2,52.3,50.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cabo Verde,CPV,18.3,17,15.9,14.9,14.1,13.4,12.8,12.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cambodia,KHM,31.6,30.1,28.8,27.5,26.5,25.5,24.6,23.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cameroon,CMR,89.3,85.9,82.7,79.8,77.3,74.9,72.2,69.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Canada,CAN,5.4,5.3,5.3,5.2,5.1,5.1,5,4.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Central African Republic,CAF,114.8,111.9,110.2,108,105.3,102.4,99.3,96.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chad,TCD,128.6,125,121.2,117.2,113.5,109.8,106.4,102.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Chile,CHL,8,7.8,7.6,7.4,7.1,6.9,6.6,6.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,China,CHN,10.7,9.9,9.2,8.6,8,7.5,7,6.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Colombia,COL,15.6,15.1,14.6,14.2,13.7,13.3,12.8,12.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Comoros,COM,61.4,59.1,57,55,53.2,51.5,49.8,48.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Dem. Rep.",COD,95.5,92.4,89.5,86.5,83.8,80.8,78.2,75.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Congo, Rep.",COG,52.9,51,49.3,47.8,52.4,44.7,43.2,41.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Costa Rica,CRI,9,8.8,8.6,8.5,8.3,8.1,7.9,7.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cote d'Ivoire,CIV,86.3,83.8,81.5,78.9,76.1,73.8,71.5,69.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Croatia,HRV,4.9,4.9,4.8,4.8,4.7,4.7,4.6,4.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cuba,CUB,6.1,6.2,6.4,6.6,6.9,7.2,7.6,8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cyprus,CYP,2.9,3,3,3.1,3.2,3.3,3.4,3.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Czechia,CZE,3.2,3.2,3.2,3.1,3,2.9,2.8,2.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Denmark,DNK,4.1,4,4,3.9,3.8,3.7,3.6,3.5,..
